0:2,1:18,0
0:3,1:18,0
0:2,1:19,0
0:4,1:20,0
0:5,1:20,0
0:6,1:20,0
0:7,1:21,0
0:7,1:22,0
0:8,1:23,0
0:8,1:24,0
0:7,1:24,0
0:9,1:25,0
0:7,1:25,0
0:10,1:26,0
0:11,1:26,0
0:10,1:27,0
0:12,1:27,0
0:13,1:27,0
0:10,1:28,0
0:14,1:28,0
0:15,1:28,0
0:16,1:29,0
0:17,1:29,0
0:16,1:30,0
0:17,1:30,0
0:10,1:31,0
0:18,1:31,0
0:19,1:32,0
0:20,1:32,0
0:11,1:32,0
0:20,1:33,0
0:21,1:34,0
0:22,1:34,0
0:23,1:34,0
0:24,1:34,0
0:25,1:35,2
0:8,1:35,2
0:14,1:35,2
0:7,1:36,2
0:26,1:36,2
0:27,1:37,0
0:7,1:38,2
0:26,1:38,2
0:28,1:38,2
0:8,1:39,1
0:8,1:40,0
