"SEA",15001,19880901,43956.80,3516.54
"DEN",15002,19880902,4021.88,0.00
"CHI",15003,19880905,16878.21,1265.87
"MIA",15004,19880905,3601.34,0.00
"CLE",15005,19880905,3762.68,0.00
"TBB",15006,19880906,537.50,0.00
"DAL",15007,19880906,9829.00,540.59
"NEP",15008,19880907,26078.10,1695.08
"HOU",15009,19880908,17392.26,0.00
"LAA",15010,19880909,56480.45,2259.22
"BUF",15011,19880909,49941.53,0.00
"SEA",15012,19880909,587.50,47.00
"SFF",15013,19880912,17398.56,0.00
"SDC",15014,19880912,14254.25,570.17
"DET",15015,19880913,7525.42,0.00
"PIT",15016,19880912,246307.00,0.00
"KCC",15017,19880912,36305.64,0.00
"NOS",15018,19880913,1911.25,0.00
"PHI",15019,19880914,70700.00,0.00
"WAS",15020,19880914,41863.06,0.00
"GBP",15021,19880915,38351.65,0.00
"LAN",15022,19880915,13256.00,795.36
"ATL",15023,19880916,11988.93,0.00
"CIN",15024,19880919,29939.51,0.00
"PHO",15025,19880919,13803.52,0.00
"MIN",15026,19880920,19357.26,0.00
"IND",15027,19880920,18947.04,0.00
"NYG",15028,19880921,53866.73,0.00
"NYJ",15029,19880922,667704.24,0.00
"DAL",15030,19880923,3945.00,216.98
"HOU",15031,19880923,4044.98,0.00
"MIA",15032,19880923,3746.34,0.00
"ATL",15033,19880924,109.50,0.00
"PHI",15034,19880926,120222.40,0.00
"BUF",15035,19880926,1080.00,0.00
"NYJ",15036,19880927,1897.20,0.00
"DET",15037,19880928,27501.35,0.00
"GBP",15038,19880929,145.00,0.00
"SEA",15039,19880930,34169.33,2733.55
