15001,19575,10
15001,22777,10
15001,19393,10
15001,25650,10
15001,12312,10
15001,12133,10
15001,27500,2
15002,19575,1
15002,22777,1
15002,25650,1
15002,12312,1
15003,19575,3
15003,22777,3
15003,19393,3
15003,25650,3
15003,12312,3
15003,12133,3
15003,15401,3
15004,22575,1
15004,15101,1
15004,28247,1
15004,24780,1
15005,11575,2
15005,25806,2
15005,15101,2
15005,18868,2
15005,24780,2
15006,25729,50
15006,27136,25
15007,22101,20
15007,10384,10
15008,19575,1
15008,15501,1
15008,25806,1
15008,13598,1
15008,12312,1
15008,16251,1
15008,12133,7
15008,12575,6
15008,12666,6
15008,24420,6
15008,19134,6
15009,19575,2
15009,22777,2
15009,19393,2
15009,15401,2
15009,23624,1
15009,12927,2
15009,12312,2
15009,16251,1
15010,22575,15
15010,15101,15
15010,28247,15
15010,24780,15
15010,16251,2
15011,12575,8
15011,12666,8
15011,24420,8
15011,14546,8
15011,15501,8
15011,16251,2
15011,14663,6
15011,13598,1
15011,19134,8
15011,18868,4
15012,27500,25
15013,22575,3
15013,28575,1
15013,22101,4
15013,23624,1
15013,16251,1
15014,16251,5
15015,12575,1
15015,22777,1
15015,19393,1
15015,15501,1
15015,23624,1
15015,12927,1
15015,12312,1
15016,28575,50
15016,25650,50
15016,25327,50
15016,15201,50
15017,22575,8
15017,15101,8
15017,25650,4
15017,28247,4
15017,24780,8
15017,10384,8
15017,16251,2
15018,25238,100
15018,12210,25
15019,20200,35
15019,20400,25
15020,12575,2
15020,25806,2
15020,15501,2
15020,20400,2
15020,13598,2
15020,11575,15
15020,25806,15
15020,18868,15
15020,24780,15
15020,25327,17
15021,19575,5
15021,22777,5
15021,19393,5
15021,15301,5
15021,12312,5
15021,16251,5
15021,25650,5
15022,10384,15
15022,22101,25
15023,12575,3
15023,12666,3
15023,24420,3
15023,15201,3
15023,19134,3
15023,25650,3
15023,20200,3
15024,19575,6
15024,12666,6
15024,24420,6
15024,14546,6
15024,15201,6
15024,16251,1
15024,14663,1
15024,25650,6
15024,19134,6
15025,22575,3
15025,15101,3
15025,28247,3
15025,24780,3
15025,16251,1
15026,19575,2
15026,22777,2
15026,19393,2
15026,20400,2
15026,15401,2
15026,23624,1
15026,12927,1
15026,12312,2
15026,16251,1
15027,11575,7
15027,10101,7
15027,23502,7
15027,15101,7
15027,18868,7
15027,24780,7
15027,28247,7
15027,20050,7
15028,19575,1
15028,15501,2
15028,25806,1
15028,13598,1
15028,20400,2
15028,12312,1
15028,16251,1
15028,12575,12
15028,12666,12
15028,24420,12
15028,19134,12
15028,12133,13
15028,25650,12
15028,20050,12
15029,28575,68
15029,25650,68
15029,20400,68
15029,15301,68
15029,10384,68
15029,16251,68
15030,25238,100
15030,27500,50
15030,25729,250
15031,23624,1
15031,16251,1
15031,25650,2
15032,22575,1
15032,15101,1
15032,28247,1
15032,24780,1
15032,25238,10
15033,27136,10
15034,20050,10
15034,20100,25
15034,20200,25
15034,20400,50
15035,27136,80
15035,27500,10
15036,25238,136
15037,12575,3
15037,22777,3
15037,19393,3
15037,15401,3
15037,23624,3
15037,12927,3
15037,12312,3
15037,25650,4
15037,20400,4
15037,25238,20
15038,25238,10
15039,12575,8
15039,12666,8
15039,24420,8
15039,12133,8
15039,15501,2
15039,15101,6
15039,16251,1
15039,19134,8
15039,13598,1
15039,25650,8
15039,27500,20
15039,27136,40
