"SEA",10101,25
"LAX",10101,52
"DAL",10101,13
"BOS",10101,21
"CHI",10101,17
"SEA",10384,72
"LAX",10384,112
"DAL",10384,31
"BOS",10384,57
"CHI",10384,83
"SEA",11189,225
"LAX",11189,489
"DAL",11189,175
"BOS",11189,350
"CHI",11189,330
"SEA",11468,25
"LAX",11468,50
"DAL",11468,25
"BOS",11468,25
"CHI",11468,35
"SEA",11575,20
"LAX",11575,40
"DAL",11575,17
"BOS",11575,15
"CHI",11575,20
"SEA",12133,85
"LAX",12133,137
"DAL",12133,50
"BOS",12133,75
"CHI",12133,61
"SEA",12210,5
"LAX",12210,7
"DAL",12210,3
"BOS",12210,0
"CHI",12210,2
"SEA",12312,25
"LAX",12312,27
"DAL",12312,30
"BOS",12312,12
"CHI",12312,10
"SEA",12575,36
"LAX",12575,48
"DAL",12575,21
"BOS",12575,40
"CHI",12575,35
"SEA",12666,40
"LAX",12666,61
"DAL",12666,32
"BOS",12666,37
"CHI",12666,51
"SEA",12927,2
"LAX",12927,5
"DAL",12927,1
"BOS",12927,1
"CHI",12927,0
"SEA",13598,15
"LAX",13598,23
"DAL",13598,7
"BOS",13598,12
"CHI",13598,18
"SEA",14546,0
"LAX",14546,5
"DAL",14546,0
"BOS",14546,20
"CHI",14546,15
"SEA",14663,23
"LAX",14663,27
"DAL",14663,20
"BOS",14663,31
"CHI",14663,24
"SEA",15101,30
"LAX",15101,50
"DAL",15101,25
"BOS",15101,75
"CHI",15101,45
"SEA",15201,48
"LAX",15201,76
"DAL",15201,38
"BOS",15201,63
"CHI",15201,75
"SEA",15301,21
"LAX",15301,46
"DAL",15301,15
"BOS",15301,44
"CHI",15301,40
"SEA",15401,20
"LAX",15401,33
"DAL",15401,8
"BOS",15401,27
"CHI",15401,55
"SEA",15501,16
"LAX",15501,24
"DAL",15501,5
"BOS",15501,18
"CHI",15501,28
"SEA",17995,40
"LAX",17995,68
"DAL",17995,35
"BOS",17995,40
"CHI",17995,52
"SEA",18868,20
"LAX",18868,30
"DAL",18868,15
"BOS",18868,15
"CHI",18868,20
"SEA",19134,35
"LAX",19134,60
"DAL",19134,30
"BOS",19134,42
"CHI",19134,47
"SEA",19393,12
"LAX",19393,25
"DAL",19393,15
"BOS",19393,20
"CHI",19393,20
"SEA",19575,0
"LAX",19575,5
"DAL",19575,0
"BOS",19575,5
"CHI",19575,7
"SEA",20050,10
"LAX",20050,13
"DAL",20050,8
"BOS",20050,15
"CHI",20050,9
"SEA",20100,21
"LAX",20100,32
"DAL",20100,28
"BOS",20100,19
"CHI",20100,47
"SEA",20200,15
"LAX",20200,21
"DAL",20200,9
"BOS",20200,37
"CHI",20200,24
"SEA",20400,51
"LAX",20400,62
"DAL",20400,38
"BOS",20400,57
"CHI",20400,70
"SEA",22101,73
"LAX",22101,97
"DAL",22101,41
"BOS",22101,59
"CHI",22101,68
"SEA",22575,20
"LAX",22575,36
"DAL",22575,15
"BOS",22575,32
"CHI",22575,15
"SEA",22777,12
"LAX",22777,25
"DAL",22777,15
"BOS",22777,20
"CHI",22777,20
"SEA",23502,10
"LAX",23502,15
"DAL",23502,5
"BOS",23502,5
"CHI",23502,5
"SEA",23624,10
"LAX",23624,17
"DAL",23624,7
"BOS",23624,8
"CHI",23624,9
"SEA",24420,71
"LAX",24420,119
"DAL",24420,55
"BOS",24420,95
"CHI",24420,77
"SEA",24780,50
"LAX",24780,75
"DAL",24780,35
"BOS",24780,42
"CHI",24780,49
"SEA",25238,425
"LAX",25238,711
"DAL",25238,225
"BOS",25238,589
"CHI",25238,362
"SEA",25327,120
"LAX",25327,225
"DAL",25327,149
"BOS",25327,202
"CHI",25327,183
"SEA",25650,98
"LAX",25650,153
"DAL",25650,41
"BOS",25650,70
"CHI",25650,60
"SEA",25729,581
"LAX",25729,933
"DAL",25729,460
"BOS",25729,551
"CHI",25729,210
"SEA",25806,32
"LAX",25806,85
"DAL",25806,27
"BOS",25806,44
"CHI",25806,31
"SEA",27136,423
"LAX",27136,277
"DAL",27136,301
"BOS",27136,111
"CHI",27136,65
"SEA",27500,120
"LAX",27500,321
"DAL",27500,45
"BOS",27500,82
"CHI",27500,178
"SEA",28247,57
"LAX",28247,82
"DAL",28247,23
"BOS",28247,38
"CHI",28247,13
"SEA",28575,12
"LAX",28575,25
"DAL",28575,19
"BOS",28575,35
"CHI",28575,7
